Job_Title,Tech_Stack,Programming_Language,First_Working_Day_Of_Week,Last_Working_Day_Of_Week,Total_Work_Hour,Province,Salary_Min,Salary_Max,Recruitment_Count,Language,Company Name,Company URL,Job Type,Deadline,Academic Level,Benefits,Level,URL,Role
Korean Bridge Software Engineer - Kỹ Sư Cầu Nối Tiếng Hàn,,,2,6,40.0,['Hà Nội'],,,1,"['tiếng Hàn', 'tiếng Anh', 'tiếng Việt']",Công Ty TNHH LG CNS VIỆT NAM,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lg-cns-viet-nam/139535.html,Toàn thời gian,16/05/2025,Đại Học trở lên,"Attractive salary and bonus will be discussed after going through CV & Interview
Review capacity annually and adjust salary increases according to work performance.
Health care: Premium health insurance, Annual health check-up
Young working environment
Good career development opportunities with interesting and challenging projects.
English, Korean, technical, soft skills training courses.
Opportunity to learn special courses from LG CNS, new technology and security.
Gifts on holidays (April 30th - May 1st, September 2nd, Tet, etc.)
Outdoor activities with company support: sports clubs, team building, happy hour parties, birthdays, travel, employee and family events, etc.
Working hours: 8 hours from Monday - Friday (8:00 - 12:00 - 13:00 - 17:00)",Nhân viên,https://www.topcv.vn/viec-lam/korean-bridge-software-engineer-ky-su-cau-noi-tieng-han/1696963.html?ta_source=ITJobs_LinkDetail,Kỹ sư cầu nối BrSE
Network Technical Support Specialist,"['SWITCH', 'ROUTER', 'VPN', 'WIRELESS', 'CISCO', 'HPE', 'ARUBA', 'RUCKUS', 'HUAWEI', 'JUNIPER NETWORKS', 'WIRELESS LAN CONTROLLERS', 'ACCESS POINTS', 'WIRELESS LAN SECURITY', 'WEP', 'WPA2/WPA3', 'LEAP', 'PEAP', 'CCNP', 'CCIE', 'HCNP', 'HCNE', 'JNCIS', 'JNCIP', 'HPE ASE', 'ARUBA ACMP', 'RMA']",,,,,"['Bắc Ninh', 'Hà Nội', 'Bắc Giang']",,,1,"['tiếng Anh', 'tiếng Trung']",CÔNG TY TNHH CÔNG NGHỆ ECOLIV,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-ecoliv/211293.html,Toàn thời gian,17/05/2025,Cao Đẳng trở lên,"1. A 13th month salary as an end-of-year bonus
2. Annual performance review for salary and career development
3. Dynamic work environment with growth opportunities.
4. Flexible working arrangements.
5. Exposure to cutting-edge technologies and innovation.
6. Professional development support and learning programs.",Nhân viên,https://www.topcv.vn/viec-lam/network-technical-support-specialist/1632650.html?ta_source=ITJobs_LinkDetail,Technical Leader
Gaming Sop Designer,['PHOTOSHOP'],,,,,"['Đà Nẵng', 'Hà Nội']",10000000.0,13000000.0,1,['tiếng Việt'],CÔNG TY TNHH MTV NIA-STUDIO,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mtv-nia-studio/147591.html,Toàn thời gian,22/05/2025,Trung học phổ thông (Cấp 3) trở lên,"Mức lương: thỏa thuận.
Lương tháng thứ 13
Các chế độ khác theo quy định của nhà nước
Cơ hội phát triển và tham gia vào các dự án đa dạng.
Hỗ trợ các khóa đào tạo nâng cao kỹ năng",Nhân viên,https://www.topcv.vn/viec-lam/gaming-sop-designer/1704685.html?ta_source=ITJobs_LinkDetail,Game Developer
Lập Trình Viên Backend Java,"['API (RESTFUL, SOAP)', 'SCM (GIT, SVN)', 'IDE (ECLIPSE, INTELLIJ, NETBEANS)', 'DATABASE ORACLE/SQL', 'WEBFORM', 'MVC', 'DEVOPS CI/CD', 'MICROSERVICE', 'CONTAINER', 'MESSAGE QUEUE', 'REDIS', 'FINTECH', 'ANGULAR', 'FRONTEND', 'BACKEND']","['JAVA', 'SQL']",2,6,42.5,['Hà Nội'],16000000.0,32000000.0,5,['tiếng Việt'],Công ty Cổ phần SIMBATECH,https://www.topcv.vn/cong-ty/cong-ty-co-phan-simbatech/32829.html,Toàn thời gian,30/06/2025,Đại Học trở lên,"CHẾ ĐỘ ĐÃI NGỘ:- Mức lương từ 16 – 32 triệu tùy level;- Hưởng lương tháng 13, xét tăng lương 6 tháng một lần, mức tăng tùy theo năng lực;- Được đóng đầy đủ bảo hiểm xã hội, bảo hiểm Y tế;- Được tham gia vào các dự án lớn của Ngân hàng, các Tổ chức tài chính lớn;- Môi trường công bằng, đảm bảo mọi người đều có thể phát huy hết khả năng của mình;- Được làm việc với những cá nhân xuất sắc, có nhiều kinh nghiệm;- Teambuild/Du lịch cùng các hoạt động ngoại khoáTHỜI GIAN LÀM VIỆC- Số ngày làm việc trong tuần: 05 ngày, từ thứ 2 đến thứ 6 hàng tuần;- Thời gian làm việc trong ngày như sau:+ Sáng từ 08 giờ đến 12 giờ;+ Chiều từ 13 giờ 30 đến 17 giờ 30;- Các chế độ hỗ trợ khác theo chính sách Công ty;",Nhân viên,https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-java-thu-nhap-tu-16-32-trieu-nghi-thu-7-chu-nhat/1713501.html?ta_source=ITJobs_LinkDetail,Backend Developer
Chuyên viên Kiểm thử Phần mềm / Tester,"['MOBILE APP', 'WEB', 'API', 'QTEST', 'JIRA', 'CONFLUENCE', 'CORE BANKING', 'T24', 'FLEXCUBE', 'SWIFT', 'BPM', 'ECM', 'EBANKING']",['SQL'],2,6,42.5,['Hà Nội'],16000000.0,32000000.0,5,['tiếng Việt'],Công ty Cổ phần SIMBATECH,https://www.topcv.vn/cong-ty/cong-ty-co-phan-simbatech/32829.html,Toàn thời gian,30/06/2025,Đại Học trở lên,"Quyền lợi:Thu nhập: Mức lương từ 16,000,000 VNĐ - 32,000,000 VNĐHưởng lương tháng 13, xét tăng lương 6 tháng một lần, mức tăng tùy theo năng lực;Được đóng đầy đủ bảo hiểm xã hội, bảo hiểm Y tế;Được tham gia vào các dự án lớn của Ngân hàng và các tổ chức tài chính;Môi trường công bằng, đảm bảo mọi người đều có thể phát huy hết khả năng của mình;Được làm việc với những cá nhân xuất sắc, có nhiều kinh nghiệm.Teambuilding/Du lịch và các hoạt động ngoại khoáThời gian làm việc:Số ngày làm việc trong tuần: 05 ngày, từ thứ 2 đến thứ 6 hàng tuần;Sáng từ 08 giờ đến 12 giờ.Chiều từ 13 giờ 30 đến 17 giờ 30.",Nhân viên,https://www.topcv.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester-thu-nhap-tu-16-32-trieu-nghi-thu-7-chu-nhat/1713391.html?ta_source=ITJobs_LinkDetail,Manual Tester
Senior Product Owner,"['HR TECH', 'TMĐT', 'AGILE', 'SCRUM']",,2,6,45.0,['Hà Nội'],,,1,"['tiếng Việt', 'tiếng Anh']",Công ty Cổ phần TOPCV Việt Nam,https://www.topcv.vn/brand/topcv?id=105,Toàn thời gian,31/05/2025,Đại Học trở lên,"Thu nhập cạnh tranh, review lương hàng năm.Thưởng lương tháng 13 và thưởng nhân viên có thành tích xuất sắc.Chăm sóc sức khỏe: BHXH + Bảo hiểm sức khỏe + bảo hiểm tai nạn, các quyền lợi khác theo luật định.Phép năm: 13 ngày phép + 1 ngày nghỉ sinh nhật + 1 ngày nghỉ ốm.Môi trường tạo điều kiện để các cá nhân thể hiện năng lực học tập và phát triển bản thân.Sếp luôn thấu hiểu, ghi nhận những đóng góp và luôn sẵn sàng thay đổi để thích nghi.Đồng nghiệp luôn cởi mở chia sẻ, giúp đỡ.Có lộ trình đào tạo, nâng cao nghiệp vụ thường xuyên, nhiều cơ hội thăng tiến và phát triển bản thânĐược tham gia các hoạt động văn hóa nội bộ sôi nổi và trẻ trung: Nghỉ mát, Teambuilding, Câu lạc bộ (boardgame, ping pong...).Không gian làm việc tiện nghi, sáng tạo, giúp tăng cảm hứng làm việc.Các quyền lợi khác theo quy định của luật lao động hiện hành.",Nhân viên,https://www.topcv.vn/brand/topcv/tuyen-dung/senior-product-owner-j734969.html?ta_source=ITJobs_LinkDetail,Product Owner/Product Manager
Front-End Developer,"['HTML', 'CSS', 'JAVASCRIPT', 'UI', 'UX', 'JQUERY', 'INTERNET EXPLORER', 'AOS', 'IOS', 'WEB ACCESSIBILITY', 'REACT', 'VUE.JS', 'ANGULAR', 'WEB RESPONSIVE', 'WEB MOBILE']",,2,6,45.0,['Hà Nội'],,,8,['tiếng Việt'],Công ty TNHH Hivelab Vina,https://www.topcv.vn/cong-ty/cong-ty-tnhh-hivelab-vina/25441.html,Toàn thời gian,29/05/2025,Đại Học trở lên,"- Thu nhập : package 14 tháng lương 1 năm ( bao gồm thưởng lễ tết + lương tháng 13).
- Lương: Thỏa thuận khi phỏng vấn.
- Đóng bảo hiểm Full lương theo quy định của luật lao động (BHXH,BHYT,BHTN).
- Gói bảo hiểm sức khỏe nâng cao MIC.
- Các khóa đào tạo về chuyên môn, kỹ năng mềm theo nhu cầu của cá nhân và đội nhóm hàng năm
- Dự án đa dạng, lộ trình phát triển rõ ràng, cơ hội thăng tiến cao.
- Có cơ hội đào tạo + du lịch nước ngoài hàng năm đối với nhân viên xuất sắc.
- Review tăng lương 2 lần/ năm.
- Môi trường trẻ trung, năng động chuyên nghiệp,văn phòng hiện đại có quầy bar miễn phí trà nước cho nhân viên.",Nhân viên,https://www.topcv.vn/viec-lam/front-end-developer/1713259.html?ta_source=ITJobs_LinkDetail,Frontend Developer
Lập Trình Viên VBA,['EXCEL'],['VBA'],2,6,45.0,['Hồ Chí Minh'],19000000.0,20000000.0,2,"['tiếng Việt', 'tiếng Anh']",CÔNG TY TNHH DIGI-TEXX,https://www.topcv.vn/cong-ty/cong-ty-tnhh-digi-texx/56854.html,Toàn thời gian,29/05/2025,Đại Học trở lên,Thu nhập: 19-20 triệu/thángĐóng bảo hiểm full lươngĐào tạo và hướng dẫn công việcMôi trường làm việc chuyên nghiệp,Nhân viên,https://www.topcv.vn/viec-lam/lap-trinh-vien-vba-quan-4-tphcm/1501471.html?ta_source=ITJobs_LinkDetail,Software Engineer
Nhân viên Quản trị Hệ thống An ninh Mạng,"['VMWARE', 'ESXI', 'GOOGLE WORKSPACE', 'BASE', 'NAGIOS', 'ZABBIX', 'SPLUNK', 'WIRESHARK', 'METASPLOIT', 'NESSUS', 'CCNA', 'MCSA']","['SQL', 'NOSQL']",,,,['Hà Nội'],18000000.0,22000000.0,2,['tiếng Việt'],CÔNG TY TNHH KHÓA HUY HOÀNG,https://www.topcv.vn/cong-ty/cong-ty-tnhh-khoa-huy-hoang/132477.html,Toàn thời gian,21/05/2025,Cao Đẳng trở lên,"Thu nhập: Thỏa thuận, từ 18 - 22 triệu.Thưởng hàng tháng, thưởng quý, thưởng năm theo chế độ và chính sách của công ty;
Có cơ hội phát triển bản thân và không giới hạn năng lực;
Môi trường làm việc trẻ trung, chuyên nghiệp, hiện đại, đồng nghiệp sẵn sàng hỗ trợ;
Nhiều hoạt động nội bộ như du lịch, tham gia teambuilding, quà sinh nhật, tổ chức khám sức khỏe hàng năm...",Nhân viên,https://www.topcv.vn/viec-lam/nhan-vien-quan-tri-he-thong-an-ninh-mang-thu-nhap-up-to-22-trieu-tai-kcn-me-linh-ha-noi/1702346.html?ta_source=ITJobs_LinkDetail,Quản trị và vận hành bảo mật
Chuyên viên Thẩm định Dự án Công nghệ Thông tin,['QUẢN LÝ DỰ ÁN'],,2,6,49.0,['Hà Nội'],14000000.0,18000000.0,2,['tiếng Việt'],TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,https://www.topcv.vn/cong-ty/tong-cong-ty-buu-dien-viet-nam/35825.html,Toàn thời gian,31/05/2025,Đại Học trở lên,"- Thu nhập: từ 15 – 20 triệu đồng/tháng (thỏa thuận theo năng lực)- Phụ cấp ăn ca: 650.000VNĐ/tháng- KPIs, Thưởng theo kết quả công việc. Thưởng ngày lễ, ngày Tết, ngày truyền thống của Bưu điện, ...- Được xét tăng lương theo định kỳ hoặc theo năng lực không giới hạn thời gian.- Cơ hội thăng tiến cao; Được tham gia các khóa đào tạo theo lĩnh vực chuyên môn của Tổng công ty ở trong nước và nước ngoài.- Môi trường làm việc chuyên nghiệp, trẻ trung, năng động.- Đóng BHXH, BHYT, BHTN và hưởng các chế độ theo quy định của Nhà nước. Đóng Bảo hiểm sức khỏe.- Ăn trưa tại nhà ăn của Tổng công ty",Nhân viên,https://www.topcv.vn/viec-lam/chuyen-vien-tham-dinh-du-an-cong-nghe-thong-tin/1669225.html?ta_source=ITJobs_LinkDetail,Công nghệ thông tin khác
