Job_Title,Tech_Stack,Programming_Language,First_Working_Day_Of_Week,Last_Working_Day_Of_Week,Work_On_Saturday,Work_On_Sunday,Total_Work_Hour,Province,Salary_Min,Salary_Max,Recruitment_Count,Language,Job_Type,Academic_Level,Experience_Years,Level,Company_Name,Company_Field,Company_URL,Deadline,URL,Date_Crawl_Module_1,Role
Kỹ sư Cầu Nối Brse,,,2,6,False,False,40.0,['Hà Nội'],,,1,"['tiếng Hàn', 'tiếng Anh', 'tiếng Việt']",Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Công Ty TNHH LG CNS VIỆT NAM,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lg-cns-viet-nam/139535.html,16/05/2025,https://www.topcv.vn/viec-lam/korean-bridge-software-engineer-ky-su-cau-noi-tieng-han/1696963.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:38:51,Kỹ sư cầu nối BrSE
Network Technical Support Specialist,"['SWITCH', 'ROUTER', 'VPN', 'WIRELESS LAN CONTROLLER', 'ACCESS POINT', 'WIRELESS LAN SECURITY', 'WEP', 'WPA2', 'WPA3', 'LEAP', 'PEAP', 'CISCO', 'HPE', 'ARUBA', 'RUCKUS', 'HUAWEI', 'JUNIPER NETWORKS']",,,,,,,"['Bắc Ninh', 'Hà Nội', 'Bắc Giang']",,,1,"['Tiếng Anh', 'tiếng Trung']",Toàn thời gian,Cao Đẳng trở lên,3 năm,Nhân viên,CÔNG TY TNHH CÔNG NGHỆ ECOLIV,Bán lẻ - Hàng tiêu dùng - FMCG,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-ecoliv/211293.html,17/05/2025,https://www.topcv.vn/viec-lam/network-technical-support-specialist/1632650.html?ta_source=ITJobs_LinkDetail,02/05/2025 08:41:43,Technical Leader
Gaming SOP Designer,['PHOTOSHOP'],,,,,,,"['Đà Nẵng', 'Hà Nội']",10000000.0,13000000.0,1,['tiếng Việt'],Toàn thời gian,Trung học phổ thông (Cấp 3) trở lên,1 năm,Nhân viên,CÔNG TY TNHH MTV NIA-STUDIO,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mtv-nia-studio/147591.html,22/05/2025,https://www.topcv.vn/viec-lam/gaming-sop-designer/1704685.html?ta_source=ITJobs_LinkDetail,02/05/2025 08:42:15,Game Developer
Lập Trình Viên Backend Java,"['SPRING BOOT', 'API', 'RESTFUL APIS', 'SOAP', 'GIT', 'SVN', 'ECLIPSE', 'INTELLIJ', 'NETBEANS', 'ORACLE', 'SQL', 'WEBFORM', 'MVC', 'ANGULAR', 'FINTECH', 'MICROSERVICE', 'CONTAINER', 'MESSAGE QUEUE', 'REDIS', 'KAFKA', 'KIỂM THỬ PHẦN MỀM (UNIT TESTING, INTEGRATION TESTING)', 'DEVOPS CI/CD']","['JAVA', 'SQL']",2,6,False,False,47.5,['Hà Nội'],16000000.0,32000000.0,5,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,3 năm,Nhân viên,Công ty Cổ phần SIMBATECH,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-co-phan-simbatech/32829.html,30/06/2025,https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-java-thu-nhap-tu-16-32-trieu-nghi-thu-7-chu-nhat/1713501.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:40:01,Backend Developer
Chuyên Viên Kiểm Thử Phần Mềm Tester,"['QTEST', 'JIRA', 'CONFLUENCE', 'ISTQB', 'API', 'CORE BANKING', 'SWIFT', 'BPM', 'ECM', 'EBANKING']",['SQL'],2,6,False,False,47.5,['Hà Nội'],16000000.0,32000000.0,5,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,3 năm,Nhân viên,Công ty Cổ phần SIMBATECH,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-co-phan-simbatech/32829.html,30/06/2025,https://www.topcv.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester-thu-nhap-tu-16-32-trieu-nghi-thu-7-chu-nhat/1713391.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:40:20,Manual Tester
Senior Product Owner,,,2,6,False,False,47.5,['Hà Nội'],,,1,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Đại Học trở lên,3 năm,Nhân viên,Công ty Cổ phần TOPCV Việt Nam,Null,https://www.topcv.vn/brand/topcv?id=105,31/05/2025,https://www.topcv.vn/brand/topcv/tuyen-dung/senior-product-owner-j734969.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:40:37,Product Owner/Product Manager
Front-End Developer,"['HTML', 'CSS', 'JAVASCRIPT', 'UI', 'UX', 'JQUERY', 'WEB ACCESSIBILITY', 'REACT', 'VUE.JS', 'ANGULAR', 'BOOTSTRAP', 'AOS', 'IOS', 'INTERNET EXPLORER']",,2,6,False,False,45.0,['Hà Nội'],,,8,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Công ty TNHH Hivelab Vina,Agency (Design/Development),https://www.topcv.vn/cong-ty/cong-ty-tnhh-hivelab-vina/25441.html,29/05/2025,https://www.topcv.vn/viec-lam/front-end-developer/1713259.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:40:57,Frontend Developer
Lập Trình Viên VBA,['VBA EXCEL'],['SQL'],2,6,False,False,47.5,['Hồ Chí Minh'],19000000.0,20000000.0,2,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Đại Học trở lên,Dưới 1 năm,Nhân viên,CÔNG TY TNHH DIGI-TEXX,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-digi-texx/56854.html,29/05/2025,https://www.topcv.vn/viec-lam/lap-trinh-vien-vba-quan-4-tphcm/1501471.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:41:22,Software Engineer
Nhân viên Quản trị Hệ thống An ninh Mạng,"['VMWARE', 'ESXI', 'IDS/IPS', 'GPO', 'CCNA', 'MCSA', 'NAGIOS', 'ZABBIX', 'SPLUNK', 'WIRESHARK', 'METASPLOIT', 'NESSUS', 'FIREWALL', 'SWITCH', 'ROUTER', 'ISO 27001']","['SQL', 'NOSQL']",,,,,,['Hà Nội'],18000000.0,22000000.0,2,['tiếng Việt'],Toàn thời gian,Cao Đẳng trở lên,1 năm,Nhân viên,CÔNG TY TNHH KHÓA HUY HOÀNG,Sản xuất,https://www.topcv.vn/cong-ty/cong-ty-tnhh-khoa-huy-hoang/132477.html,21/05/2025,https://www.topcv.vn/viec-lam/nhan-vien-quan-tri-he-thong-an-ninh-mang-thu-nhap-up-to-22-trieu-tai-kcn-me-linh-ha-noi/1702346.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:41:42,Quản trị và vận hành bảo mật
Chuyên Viên Thẩm Định Dự Án Công Nghệ Thông Tin,,,2,6,False,False,49.0,['Hà Nội'],14000000.0,18000000.0,2,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,3 năm,Nhân viên,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,Viễn thông,https://www.topcv.vn/cong-ty/tong-cong-ty-buu-dien-viet-nam/35825.html,31/05/2025,https://www.topcv.vn/viec-lam/chuyen-vien-tham-dinh-du-an-cong-nghe-thong-tin/1669225.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:42:06,Công nghệ thông tin khác
